File,Node,Original,Translated
POPISY.TXT,231,Vaše nabídka je naprosto nepřijatelná.,Your offer is completely unacceptable.
POPISY.TXT,232,"Nevím nevím, stále se nemohu rozhodnout.","I don't know, I still can't decide."
POPISY.TXT,233,"Kdybych neživil rodinu, snad bych o vaší nabídce i uvažoval...","If I didn't have a family to feed, I might consider your offer..."
POPISY.TXT,234,Tohle zkoušejte na někoho hloupějšího!,Try this on someone dumber!
POPISY.TXT,235,Cože? Chcete mě ožebračit?,What? Do you want to rob me?
POPISY.TXT,236,"Věc tohoto druhu mám jen jednu. Myslím, že zbytečně maříme čas.",I only have one of these items. I think we're wasting time.
POPISY.TXT,237,Mě zajíma jen suma.,I'm only interested in the amount.
POPISY.TXT,238,Vaše nabídka:,Your offer:
POPISY.TXT,239,Zpět,Back
POPISY.TXT,240,A vaše nabídka zní?,And what is your offer?
POPISY.TXT,241,Původní cena:,Original price:
POPISY.TXT,251,Za takovýchto podmínek nelze uzavírat obchody.,Business cannot be conducted under these conditions.
POPISY.TXT,252,"Hmmm..., opravdu velkorysé. Zkuste to upřesnit.",Hmm... that's really generous. Try to be more specific.
POPISY.TXT,253,Nejsem dobročiný spolek.,I'm not a charity.
POPISY.TXT,254,Moje představa se od té vaší asi hodně liší!,My idea is probably very different from yours!
POPISY.TXT,255,Kolik? Tak dobře jsem se už dlouho nepobavil!,How much? I haven't had this much fun in a long time!
POPISY.TXT,256,Mám už poslední kus. Pokuste se mě pochopit.,I have the last piece. Try to understand me.
mapname,BILA_VEZ.MAP,,White Tower
mapname,CAREDBAR.MAP,,Caredbar
mapname,JESKYNE.MAP,,Ice Caves
mapname,LABYRINT.MAP,,Labyrinth of Singing Waters
mapname,LESDRIAD.MAP,,Dryads
mapname,LESPRED.MAP,,Foothill Forest
mapname,LESZA.MAP,,Dark Forest
mapname,LESZACAR.MAP,,Enchanted Forest
mapname,NEVIDITE.MAP,,Invisible City
mapname,PLANE.MAP,,White Tower
mapname,PODVODOU.MAP,,Underwater
mapname,PODZEMI.MAP,,Earth Mage Abode
mapname,PRISTAV.MAP,,Orat
mapname,P_CAR2DR.MAP,,Forest
mapname,P_CAR2VE.MAP,,Forest
mapname,P_LESY_1.MAP,,Troll Gorge
mapname,P_LESY_2.MAP,,Zenox Pass
mapname,SKELDAL.MAP,,Skeldal
mapname,SKRETI.MAP,,Orc Cave
mapname,SOPKA.MAP,,Volcano
mapname,SOUTESKA.MAP,,Gorge of Wandering Souls
mapname,VET_HORA.MAP,,Windy Mountain
BILA_VEZ.MAP,2,,Magic...
BILA_VEZ.MAP,3,,...is only...
BILA_VEZ.MAP,4,,...in your...
BILA_VEZ.MAP,5,,...mind.
JESKYNE.MAP,1,,"The shore looks treacherous, it would be better not to step on it!"
JESKYNE.MAP,2,,"In the ""Ice Caves"" you found Water from Queen Mithel's fountain. "
LESDRIAD.MAP,2,,"The talking tree, suffering from drought, fell into a centuries-long sleep years ago."
LESDRIAD.MAP,3,,"After you watered the talking tree with water from a silver and gold jugs filled with the springs of life and death, the tree awoke from its centuries-long sleep and gave you a parchment with the password to a magic chest for your service."
LESDRIAD.MAP,4,,You filled the silver jug from the spring of death.
LESDRIAD.MAP,5,,You filled the golden jug from the spring of life.
LESZA.MAP,1,,You are not ready to pass the desert.
LESZACAR.MAP,1,,You found a scroll.
LESZACAR.MAP,2,,In the palace of the Invisible City you found the Scroll of the Thought of Victory.
PODZEMI.MAP,1,,You entered a large room at the end of which you can see a precious sword and on the sides of which are bars behind which something is moving. Some members of your party think it's a trap.
PODZEMI.MAP,2,,The feeling that something is wrong has intensified even more.
PODZEMI.MAP,3,,In the lower level of the dungeon you found the Heart of the Earth.
PRISTAV.MAP,1,,"Suddenly, you heard beautiful music from somewhere, being played on a lute. "
SKELDAL.MAP,1,,You are not ready to enter yet!
SKRETI.MAP,1,,You felt a faint draft.
SKRETI.MAP,2,,"""Hall of the Orc Kings."""
SKRETI.MAP,3,,This torch cannot be moved.
SKRETI.MAP,4,,"At the order of the Orc King, passage to the other side is forbidden."
SOPKA.MAP,1,,The pyramid cannot be moved from this side.
SOPKA.MAP,2,,Inside the volcano you found the Eternal Fire.
SOPKA.MAP,3,,From the magical lexicon of the fire element you have learned several new spells.
VET_HORA.MAP,1,,"At the top of ""Windy Mountain"" you found the Wind Hammer. "
